UR;I;UH;UC
2000;0,5;0,3;27,9 
2000;1;0,7;27,9 
2000;1,5;0,9;28 
2000;2;1;28 
2000;2,5;1,1;28 
2000;3;1,2;28,1 
2000;3,5;1,2;28,1 
2000;-0,5;-0,3;27,9 
2000;-1;-0,7;28,4 
2000;-1,5;-0,9;28,1 
2000;-2;-1,1;28,2 
2000;-2,5;-1;28,2 
2000;-3;-1,1;28,5 
2000;-3,5;-1,2;28,6 
4000;0,5;1;57,4 
4000;1;1,7;57,5 
4000;1,5;2,2;57,8 
4000;2;2,4;57,9 
4000;2,5;2,5;57,9 
4000;3;2,7;57,9 
4000;3,5;2,7;57,9 
4000;-0,5;-0,7;57,5 
4000;-1;-1,5;57,5 
4000;-1,5;-1,9;57,5 
4000;-2;-2,2;57,5 
4000;-2,5;-2,3;57,5 
4000;-3;-2,5;57,5 
4000;-3,5;-2,6;57,5 
8000;0,5;1,5;113,6 
8000;1;2,7;113,1 
8000;1,5;3,5;113,3 
8000;2;4;113,5 
8000;2,5;4,3;113,6 
8000;3;4,6;113,9 
8000;3,5;4,5;114,1 
8000;-0,5;-1,8;113,3 
8000;-1;-3,2;113,4 
8000;-1,5;-4,3;113,6 
8000;-2;-4,7;113,9 
8000;-2,5;-5;114 
8000 ;-3;-5,3;144 
8000;-3,5;-5,5;144,2 
-2000;0,5;-0,4;-28,1 
-2000;1;-0,7;-28,3 
-2000;1,5;-0,9;-28,3 
-2000;2;-1;-28,4 
-2000;2,5;-1,1;-28,4 
-2000;3;-1,2;-28,5 
-2000;3,5;-1,2;-28,5 
-2000;-0,5;0,4;-28,2 
-2000;-1;0,7;-28,4 
-2000;-1,5;1;-28,4 
-2000;-2;1,1;-28,4 
-2000;-2,5;1,2;-28,5 
-2000;-3;1,3;-28,5 
-2000;-3,5;1,3;-28,6 
-4000;0,5;-1;-56,6 
-4000;1;-1,7;-56,7 
-4000;1,5;-2,2;-56,8 
-4000;2;-2,4;-57,0 
-4000;2,5;-2,5;-57,0 
-4000;3;-2,7;-57,1 
-4000;3,5;-2,7;-57,1 
-4000;-0,5;0,7;-56,7 
-4000;-1;1,5;-56,9 
-4000;-1,5;1,9;-57,1 
-4000;-2;2,2;-57,2 
-4000;-2,5;2,3;-57,2 
-4000;-3;2,5;-57,2 
-4000;-3,5;2,6;-57,3 
-8000;0,5;-1,8;-113,0 
-8000;1;-3,1;-113,4 
-8000;1,5;-4,1;-113,5 
-8000;2;-4,6;-113,8 
-8000;2,5;-4,9;-113,9 
-8000;3;-5,2;-114 
-8000;3,5;-5,6;-114,1 
-8000;-0,5;1,8;-113,6 
-8000;-1;3,3;-113,8 
-8000;-1,5;4,4;-114 
-8000;-2;4,7;-114,1 
-8000;-2,5;5,1;-114,2 
-8000;-3;5,4;-144,3 
-8000;-3,5;5,5;-144,4 
 